,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
T,0.08578272835347868,-0.2106129318170965,0.2192087090337508,0.07205277034885736,0.49406720069148785,0.10895274547217242,0.7865572596789151,0.04297930550088797,-0.10662074112367223,-0.049000200294279726,0.055513865606789066,-0.034319851701023286,0.01393169798153034,0.012422058721670392,-0.012944704798595271,0.0001995078546076717,0.0001374544303916116,0.0014650063040993482,1.3250720698188204e-15,2.271044445758692e-16,1.045020134826579e-16,9.915009497789863e-16
WF1,0.2807920129128503,-0.02922667366177284,-0.01370515380178633,0.0012656775801442102,0.018053994412269486,0.09507654319241267,-0.0509980542880345,0.05414579006435447,-0.016962812348159453,0.07330675327076475,-0.11577342065047182,0.17625569757392534,0.2409185468820797,-0.12255096810516214,-0.18000313854307856,0.041340649290577736,-0.015505465960931004,0.8646802254907402,3.704755179940466e-13,-4.111377452197783e-13,2.3172656890782004e-14,-7.112837769501573e-15
WF2,0.2775243768212293,-0.0251519056778678,-0.03620367931182738,0.03497381165543697,0.038175357342052185,0.07035436514481021,-0.037196442275041056,0.08000390827452254,-0.03594274811628874,0.07252420392422518,-0.140546694159388,0.1836421728969507,0.29103473186092177,-0.33996360530028447,0.7875494074584425,-0.08586934714543833,0.021865024625252052,-0.13126617692055476,-1.3027919976278185e-13,6.881342877044861e-14,-8.75622608444592e-15,-7.208983676825252e-14
WF3,0.2096002878031779,0.1052907874457345,-0.2624239774561579,0.20244977224393138,0.12267974249475659,0.09385871873443292,-0.06724533542726116,-0.060444249366331075,-0.31358473703284584,0.06639762696977816,-0.0072909703879942955,0.08104227195233625,0.17677627030490486,-0.07838579729942331,-0.28111915720666053,-0.00019869817338458664,0.0009804366155748625,-0.23015858112448834,0.6993878427947602,0.18052501715482114,-0.004637214791422871,-0.05078166289860711
WF4,0.17056543491846118,0.14222505640859948,-0.32424221891129323,0.26170798693972414,0.1725814669798931,-0.11854366904907446,0.018245635946965787,0.515270519352337,0.5311766720730257,0.13945188425199795,0.4007981986131547,-0.016120572302874447,-0.06658910806362289,0.0037596096066864725,-0.019316180271957608,0.003309451766597409,0.0004010856029966425,-0.007401165436125421,-2.63327405637271e-16,3.8689576550285955e-15,-2.3905409996485123e-17,1.6451567294896489e-15
UT,0.2526652430677984,0.15120637864016961,-0.11430868452805419,-0.28133497488413683,0.049012301278519056,-0.06622753878176167,0.03418693273363478,-0.10107507409286148,0.01327734100359688,-0.024518097364731477,0.059144581620074424,-0.1854180174577094,0.47116978572160184,-0.36876088893805237,-0.38182825240305895,0.028637312337184383,0.0030240780085490464,-0.2800243227387709,-0.4111791483167986,-0.10613298982553467,0.002726278485015689,0.029855195677088806
BT,0.27101956739963184,0.07997426911634128,-0.04830274657970206,-0.19080221481963325,0.03141483187524893,-0.0006841618009111121,-0.033103285172666905,-0.017641309605642936,-0.018084943358839475,-0.12288263794639236,0.0816428734577358,-0.09464569706890556,0.40213182740135367,0.810740370343494,0.1633940050698823,0.04572132525929685,0.004808661608767942,-0.012156223263761841,-3.879418228761286e-14,1.2156710022337525e-14,1.1637666725051272e-16,-5.2932364510496894e-14
VT,0.06954818075743305,0.5462074883153242,0.4004048435058854,0.18571269780630664,-0.02428591688785747,-0.012402620193564803,0.02746658736200227,0.0017255462501599905,-0.0027472722669832543,-0.009858022832481961,-0.009860883996089047,0.016191549963735435,-0.0014235144819026784,-0.005211562349299589,-0.00011525321364263854,-0.0033320588881509466,-0.00028475690778146404,0.0012839586751327659,-0.001136769930162712,-0.011621238309798866,-0.7069696283978435,0.007589406912745427
IT,0.06954818075743305,0.5462074883153242,0.40040484350588534,0.18571269780630667,-0.02428591688785747,-0.012402620193564414,0.02746658736200224,0.001725546250159713,-0.0027472722669835874,-0.009858022832482253,-0.009860883996088936,0.016191549963735324,-0.0014235144819025952,-0.005211562349302822,-0.00011525321363608822,-0.0033320588881526223,-0.00028475690777911,0.0012839586751059262,0.0011367699301639779,0.011621238309797811,0.7069696283978438,-0.007589406912745249
U,0.2456485253487198,0.146945451340197,-0.11577612796511863,-0.287911429140654,0.08893564659245196,-0.04517535754397498,0.044372445081580364,-0.0761939080804849,-0.0019617386079308543,0.061373484578125026,-0.08437272606001124,0.08831046960515897,-0.32126107699606865,0.030848315078250158,-0.0022809303353072677,-0.29715443589568136,-0.12488672262748092,0.005116695822941863,0.047001806969832645,-0.36855153248861827,-0.001131883542040361,-0.6627398283684052
R,0.28592278485957023,0.02077855454706826,-0.004375846032344956,-0.14799021991111538,0.03748143526310438,0.03867800767153804,-0.04565368461641319,0.00811342334810987,-0.037483043827204396,-0.04306033236675407,-0.03061685396855782,-0.10241975640155636,-0.26691503521927373,0.0012212528926444136,-0.011984053931674139,-0.3129567382186184,-0.1290789260345055,0.004151941848274969,0.15911414693025766,-0.41942292687228466,0.014143409296664841,0.699082717221242
G,0.2785728696914681,0.06125416092714396,-0.03932257157306055,-0.20809725759695513,0.04303006809047506,0.0070023974540881235,-0.02301705728295206,0.0061707594870100595,-0.05384346289768581,-0.13918413113429356,0.014976256855455663,0.024594064189283178,-0.2926713866721814,-0.008184814481849675,-0.010507353754779377,-0.3110701464656695,-0.13096648228030494,0.00633368525768682,-0.19623286290170894,0.7781898948726627,-0.011779984318595635,0.06487561810114775
I,0.2866044111444775,0.005957407828512412,0.006386324438679619,-0.11708309343558829,0.032905344464592604,0.05027720480978268,-0.05128334747204656,0.003939349439218552,-0.033477000600728425,-0.038713863077391795,-0.03944808763072902,-0.08796336959959955,-0.2814851916386031,-0.02202247746995792,0.00949226501349989,0.2626805947924564,0.8585156282643477,-0.006690465480476019,-9.01188683721291e-14,4.1477583639769873e-13,-9.80817595644401e-15,-1.5223996086583909e-13
Z,0.28544491448254095,-0.006105214965192667,0.013993800441804283,-0.0901589083307967,0.03323438386446892,0.06078809922331226,-0.05561945464512913,0.0017406356335150717,-0.02704268202258938,-0.02179033945848859,-0.052996401157202826,-0.07442508129070857,-0.2717898634753043,-0.04717586620318597,0.07067208129531588,0.7747076506842845,-0.45648552918041707,-0.055394463791365985,4.442127586846544e-14,-2.8323188632293317e-13,6.1690507911275546e-15,1.2183344917961964e-13
logM_HEC,-0.2221266125237446,0.07675558845575023,0.016856301625435444,-0.04706375619133083,0.6788052919295592,0.251337359534012,-0.3738677133896044,-0.0015719045571192449,0.27390108182258854,-0.28200685624508626,-0.34717367343879196,0.00049090044823788,0.041806646713294086,-0.0005755103377120186,-0.03314623683487641,-0.0044113522574983875,0.0012957784499681177,-0.024396225866770652,-7.567989430326095e-15,1.2377568806361201e-14,-4.300179612662667e-16,2.888619381279579e-15
logSFR_HEC,-0.15064609301572554,-0.02847734601063915,0.28352784213525234,-0.3450641979603748,0.28241077886126753,0.13981048074708619,-0.2943068612871495,0.1701951261014436,-0.31779478632826785,0.4203842655498268,0.5250086395732048,0.08045080263479726,0.009595582288635558,-0.028830984802371246,0.03253317275313467,0.010577069445920474,0.0018077501605482178,0.01523215571179081,2.5220327317433475e-15,-7.24441130866438e-15,1.2034891688352132e-16,-2.6174461073898765e-15
METAL,-0.1074102648228071,0.04238220572182487,-0.011318143079656482,-0.10188819225327803,0.09710214436312417,-0.5559091932798073,-0.01547793290277826,0.5948559510631611,-0.3773767788225845,-0.03859205735909867,-0.3708330865808394,-0.14118960791863702,0.025977934019938566,0.01142961583014266,-0.018239094653727327,0.02532742811385366,0.00040184078589523646,0.021596194541300875,1.0057967432470526e-14,-1.2487131903582449e-14,7.661892603539174e-16,2.313352760635009e-15
AGN_HEC,-0.22503581120596736,0.2750514722842199,-0.23952720863721988,-0.23578723845308394,-0.26811396225076006,0.6620182739117737,0.23185580740149883,0.39663376160121183,-0.09051738755358717,-0.022157477182193894,-0.12646168314430367,-0.1195859100597404,0.004645424083591823,-0.005103042939645287,0.014314053288422716,0.014376354636417068,0.0006869382057374061,0.00839968666586216,1.6454516676904216e-15,-5.528431808826951e-15,2.0436835699006582e-16,3.1662536119850476e-16
u-g,-0.15802262553860663,0.2506978863468585,-0.22680251064529108,-0.20265613552812684,0.13221472153388908,-0.16169833201617645,0.2116931231465644,-0.25425005409415447,0.1703553794645937,0.6444546080658698,-0.30821710849398437,0.190687307766501,-0.028043421552244638,0.12156502604894395,0.027414043512616504,0.10627295896107522,0.04542170464280604,-0.005031608151105593,-0.015302151177168776,0.11998754154997478,0.00036850185539395833,0.21576500348870084
g-r,-0.16514048160659558,0.1944328416684262,-0.17395292143700158,-0.23624037538325982,0.011132448180859709,-0.1767823934729105,0.1344084658162565,-0.013415149095283505,-0.06555585768237976,-0.46456740826798354,0.2432272152222341,0.685261047053629,-0.010027855763322657,-0.04789538545690855,0.012804300403109134,0.14975519119139677,0.04834804634871697,0.00912162682774384,0.02902509962534807,-0.07650980426622893,0.0025799960078829462,0.1275244590451116
W3-UT,0.08147612856367399,0.02187807843955102,-0.2605154585175856,0.49088446331299956,0.1252595649784733,0.17721036984759916,-0.11655816140208013,-0.001362368638741474,-0.4288856273189565,0.10784122573477095,-0.056131516411405166,0.2536182524742925,-0.13375446488511647,0.18470841199913848,-0.07558080485777857,-0.02273259195930681,-0.0010641822654870075,-0.0874459215444381,-0.5240947800878492,-0.13527861563612212,0.003474953262863997,0.038053856273808764
(W3+UT)/W1,-0.20093555142389494,0.2928533112288313,-0.3707491626121818,0.06730552949117442,0.19030661479687255,-0.1339864825110154,0.03940687146578252,-0.3134264782356042,-0.23665709135330684,-0.13871581708339709,0.27034107890969933,-0.49009940445660793,-0.05601704737312717,-0.11767013935289902,0.2839705135111261,0.02400953061809015,-0.0014654798002794378,0.30197087851445686,9.998768465130845e-14,-1.4393139140989678e-13,5.861201028364276e-15,-3.500662523477114e-14
